Year	Month	Day	T obs	T mod	P obs	P mod	H obs	H mod	W obs	W mod	SW obs	SW mod
2001	1	1	0.65	-2.37	0.00	0.00	29.38	35.50	4.28	0.59	79.63	80.23
2001	1	2	2.20	2.25	0.00	0.06	52.75	74.30	3.34	2.11	84.14	62.36
2001	1	3	-2.99	-1.68	6.20	2.86	89.71	92.01	4.06	1.27	20.37	63.38
2001	1	4	-2.30	-0.20	1.80	3.34	68.83	76.61	5.01	1.47	35.76	76.62
2001	1	5	0.15	0.22	0.00	0.09	50.58	71.62	4.37	2.09	52.78	76.30
2001	1	6	2.31	3.45	0.00	0.04	70.96	96.28	2.89	2.32	73.26	76.99
2001	1	7	-2.20	2.52	9.00	0.97	93.63	95.16	2.64	2.04	26.74	72.45
2001	1	8	-5.41	-1.91	21.70	21.37	93.21	93.43	4.67	1.03	6.83	71.30
2001	1	9	-7.68	-6.84	1.70	1.11	83.29	83.21	4.32	0.87	28.47	70.65
2001	1	10	-2.30	-1.50	0.00	0.06	49.58	66.25	3.73	1.98	46.99	74.26
2001	1	11	-1.27	-0.14	0.10	1.74	80.54	95.69	4.31	0.78	41.44	73.29
2001	1	12	-3.33	-3.35	0.50	0.55	95.33	95.54	1.85	0.86	32.41	70.51
2001	1	13	-9.07	-9.03	0.00	0.00	87.04	54.39	4.93	1.53	52.20	39.17
2001	1	14	-7.85	-9.43	0.00	0.00	23.38	48.14	7.29	2.69	99.77	58.61
2001	1	15	-7.58	-8.46	0.00	0.00	24.75	45.80	8.69	2.42	101.97	40.65
2001	1	16	-8.27	-7.66	0.00	0.00	62.04	66.20	2.23	0.45	86.57	68.33
2001	1	17	-4.36	-3.98	0.00	0.07	43.54	51.81	2.63	0.59	83.91	63.01
2001	1	18	-3.83	-2.72	0.00	0.00	75.58	77.73	3.18	0.98	61.34	69.77
2001	1	19	-3.90	-3.29	0.00	0.00	54.75	62.96	2.60	0.67	95.14	40.23
2001	1	20	-5.05	-3.07	0.00	1.18	60.13	69.24	1.69	0.38	54.63	77.92
2001	1	21	-6.69	-5.06	0.00	6.41	82.46	96.90	2.79	0.50	46.30	79.58
2001	1	22	-1.09	-2.41	0.00	0.00	56.92	64.95	3.36	0.54	60.76	79.81
2001	1	23	-0.17	-0.24	0.00	0.16	67.88	76.08	3.40	1.25	80.67	78.94
