Year	Month	Day	T_obs	T_mod	P_obs	P_mod	H_obs	H_mod	W_obs	W_mod	SW_obs	SW_mod
2001	1	1	NaN	2.44	NaN	0.00	NaN	37.88	NaN	1.11	NaN	74.26
2001	1	2	NaN	6.15	NaN	0.22	NaN	72.40	NaN	1.94	NaN	67.73
2001	1	3	NaN	4.51	NaN	0.14	NaN	79.12	NaN	1.98	NaN	51.99
2001	1	4	NaN	5.70	NaN	1.49	NaN	63.00	NaN	2.03	NaN	70.88
2001	1	5	NaN	7.29	NaN	0.10	NaN	56.39	NaN	2.70	NaN	70.93
2001	1	6	NaN	9.72	NaN	0.38	NaN	74.41	NaN	1.46	NaN	71.30
2001	1	7	NaN	3.45	NaN	9.63	NaN	93.08	NaN	0.99	NaN	67.18
2001	1	8	NaN	0.71	NaN	23.14	NaN	98.71	NaN	0.59	NaN	66.99
2001	1	9	NaN	-1.80	NaN	2.00	NaN	80.95	NaN	1.35	NaN	65.23
2001	1	10	NaN	3.31	NaN	0.39	NaN	71.89	NaN	1.50	NaN	68.43
2001	1	11	NaN	3.84	NaN	1.26	NaN	99.47	NaN	1.57	NaN	67.55
2001	1	12	NaN	-0.11	NaN	0.24	NaN	92.62	NaN	1.21	NaN	33.89
2001	1	13	NaN	-3.82	NaN	0.00	NaN	75.90	NaN	1.60	NaN	27.96
2001	1	14	NaN	-5.16	NaN	0.00	NaN	72.12	NaN	1.63	NaN	41.16
2001	1	15	NaN	-4.76	NaN	0.00	NaN	65.06	NaN	1.84	NaN	41.57
2001	1	16	NaN	-3.57	NaN	0.00	NaN	62.70	NaN	0.85	NaN	63.19
2001	1	17	NaN	-1.17	NaN	0.00	NaN	53.64	NaN	0.86	NaN	45.79
2001	1	18	NaN	-0.52	NaN	0.00	NaN	79.59	NaN	0.90	NaN	61.99
2001	1	19	NaN	1.52	NaN	0.00	NaN	68.71	NaN	0.63	NaN	15.23
2001	1	20	NaN	-1.22	NaN	0.12	NaN	86.06	NaN	1.08	NaN	71.25
2001	1	21	NaN	-0.78	NaN	5.24	NaN	96.83	NaN	0.55	NaN	72.55
2001	1	22	NaN	2.66	NaN	0.04	NaN	64.68	NaN	1.23	NaN	73.10
2001	1	23	NaN	5.06	NaN	0.00	NaN	71.41	NaN	2.38	NaN	72.96
2001	1	24	NaN	6.81	NaN	0.06	NaN	77.85	NaN	2.57	NaN	67.27
2001	1	25	NaN	6.53	NaN	0.48	NaN	79.54	NaN	1.57	NaN	51.30
2001	1	26	NaN	4.16	NaN	0.10	NaN	69.16	NaN	1.73	NaN	57.13
2001	1	27	NaN	3.11	NaN	0.05	NaN	54.63	NaN	2.31	NaN	66.16
2001	1	28	NaN	1.77	NaN	0.00	NaN	50.51	NaN	1.44	NaN	19.31
2001	1	29	NaN	0.15	NaN	0.00	NaN	73.01	NaN	1.13	NaN	56.71
2001	1	30	NaN	-1.07	NaN	3.15	NaN	91.64	NaN	1.26	NaN	64.35
2001	1	31	NaN	-2.23	NaN	3.84	NaN	87.40	NaN	1.10	NaN	70.65
2001	2	1	NaN	-3.09	NaN	3.10	NaN	89.78	NaN	1.58	NaN	71.90
2001	2	2	NaN	-2.71	NaN	1.36	NaN	84.87	NaN	1.99	NaN	69.77
2001	2	3	NaN	1.16	NaN	11.29	NaN	93.45	NaN	1.39	NaN	56.62
2001	2	4	NaN	3.95	NaN	10.21	NaN	93.69	NaN	1.90	NaN	61.20
2001	2	5	NaN	5.40	NaN	0.00	NaN	76.43	NaN	2.13	NaN	50.74
2001	2	6	NaN	8.48	NaN	0.06	NaN	67.98	NaN	2.67	NaN	41.53
2001	2	7	NaN	10.47	NaN	0.00	NaN	54.93	NaN	2.89	NaN	31.71
2001	2	8	NaN	9.59	NaN	0.00	NaN	53.23	NaN	3.49	NaN	22.27
2001	2	9	NaN	5.45	NaN	1.75	NaN	79.59	NaN	1.54	NaN	70.56
2001	2	10	NaN	2.94	NaN	1.40	NaN	87.13	NaN	0.92	NaN	53.15
2001	2	11	NaN	6.01	NaN	0.00	NaN	39.25	NaN	0.71	NaN	18.43
2001	2	12	NaN	9.45	NaN	0.00	NaN	27.69	NaN	1.48	NaN	47.41
2001	2	13	NaN	8.35	NaN	3.06	NaN	64.84	NaN	2.34	NaN	85.56
2001	2	14	NaN	3.60	NaN	0.00	NaN	69.83	NaN	1.10	NaN	85.37
2001	2	15	NaN	6.37	NaN	0.00	NaN	58.59	NaN	1.15	NaN	87.73
2001	2	16	NaN	8.66	NaN	0.00	NaN	47.78	NaN	1.36	NaN	87.22
2001	2	17	NaN	5.19	NaN	0.14	NaN	77.30	NaN	1.93	NaN	88.33
2001	2	18	NaN	2.95	NaN	0.54	NaN	82.52	NaN	1.74	NaN	85.46
2001	2	19	NaN	1.73	NaN	0.74	NaN	82.89	NaN	1.63	NaN	87.92
2001	2	20	NaN	1.46	NaN	1.89	NaN	81.70	NaN	3.91	NaN	70.93
2001	2	21	NaN	2.81	NaN	9.52	NaN	76.58	NaN	3.86	NaN	57.31
2001	2	22	NaN	3.02	NaN	5.71	NaN	80.98	NaN	4.85	NaN	62.64
2001	2	23	NaN	1.48	NaN	5.85	NaN	85.80	NaN	2.90	NaN	75.74
2001	2	24	NaN	-1.25	NaN	3.02	NaN	77.58	NaN	1.04	NaN	54.35
2001	2	25	NaN	-2.87	NaN	0.00	NaN	62.49	NaN	1.11	NaN	91.34
2001	2	26	NaN	-3.01	NaN	0.00	NaN	60.24	NaN	2.74	NaN	89.95
2001	2	27	NaN	-0.66	NaN	0.00	NaN	47.49	NaN	1.94	NaN	69.72
2001	2	28	NaN	1.98	NaN	0.00	NaN	54.34	NaN	2.39	NaN	101.85
2001	3	1	NaN	1.87	NaN	0.00	NaN	55.50	NaN	2.31	NaN	96.34
2001	3	2	NaN	2.67	NaN	0.00	NaN	54.70	NaN	1.21	NaN	59.58
2001	3	3	NaN	6.66	NaN	0.33	NaN	75.01	NaN	1.56	NaN	92.22
2001	3	4	NaN	6.88	NaN	9.31	NaN	81.32	NaN	1.73	NaN	83.80
2001	3	5	NaN	3.93	NaN	7.48	NaN	86.30	NaN	1.74	NaN	87.87
2001	3	6	NaN	3.68	NaN	0.00	NaN	62.69	NaN	1.64	NaN	52.64
2001	3	7	NaN	9.24	NaN	0.00	NaN	42.83	NaN	1.25	NaN	48.89
2001	3	8	NaN	13.33	NaN	0.04	NaN	57.15	NaN	2.29	NaN	103.61
2001	3	9	NaN	8.47	NaN	11.65	NaN	77.47	NaN	1.89	NaN	110.60
2001	3	10	NaN	9.78	NaN	0.49	NaN	61.66	NaN	1.92	NaN	117.82
2001	3	11	NaN	11.09	NaN	0.96	NaN	69.95	NaN	2.52	NaN	44.49
2001	3	12	NaN	13.57	NaN	3.05	NaN	63.66	NaN	2.31	NaN	45.79
2001	3	13	NaN	7.03	NaN	15.88	NaN	71.28	NaN	2.02	NaN	40.83
2001	3	14	NaN	5.56	NaN	8.84	NaN	79.20	NaN	2.94	NaN	130.83
2001	3	15	NaN	8.34	NaN	5.55	NaN	76.01	NaN	3.01	NaN	120.05
2001	3	16	NaN	12.23	NaN	0.00	NaN	59.65	NaN	1.77	NaN	110.65
2001	3	17	NaN	12.57	NaN	2.95	NaN	56.23	NaN	2.14	NaN	133.98
2001	3	18	NaN	10.00	NaN	0.04	NaN	69.28	NaN	1.62	NaN	133.10
