Year	Month	Day	T obs	T mod	P obs	P mod	H obs	H mod	W obs	W mod	SW obs	SW mod
2001	1	1	NaN	1.13	NaN	0.00	NaN	31.45	NaN	2.63	NaN	77.55
2001	1	2	NaN	4.39	NaN	0.21	NaN	78.16	NaN	2.27	NaN	68.75
2001	1	3	NaN	1.38	NaN	3.27	NaN	83.00	NaN	2.74	NaN	59.72
2001	1	4	NaN	3.24	NaN	5.80	NaN	66.11	NaN	3.81	NaN	74.12
2001	1	5	NaN	4.63	NaN	0.56	NaN	58.27	NaN	5.44	NaN	72.96
2001	1	6	NaN	5.29	NaN	1.66	NaN	83.79	NaN	2.38	NaN	74.21
2001	1	7	NaN	0.22	NaN	3.62	NaN	98.03	NaN	0.92	NaN	69.91
2001	1	8	NaN	-1.40	NaN	21.75	NaN	93.93	NaN	1.08	NaN	69.68
2001	1	9	NaN	-3.57	NaN	2.99	NaN	70.50	NaN	3.32	NaN	65.28
2001	1	10	NaN	1.91	NaN	1.58	NaN	59.22	NaN	3.52	NaN	71.94
2001	1	11	NaN	2.02	NaN	2.47	NaN	93.69	NaN	2.00	NaN	70.97
2001	1	12	NaN	-2.28	NaN	0.19	NaN	91.88	NaN	0.91	NaN	67.31
2001	1	13	NaN	-7.13	NaN	0.00	NaN	57.00	NaN	1.44	NaN	40.46
2001	1	14	NaN	-7.68	NaN	0.00	NaN	49.82	NaN	1.21	NaN	51.71
2001	1	15	NaN	-5.31	NaN	0.00	NaN	39.79	NaN	2.01	NaN	47.04
2001	1	16	NaN	-5.13	NaN	0.00	NaN	50.00	NaN	1.16	NaN	63.75
2001	1	17	NaN	-1.97	NaN	0.07	NaN	46.12	NaN	1.62	NaN	62.22
2001	1	18	NaN	-0.73	NaN	0.00	NaN	67.99	NaN	1.54	NaN	68.29
2001	1	19	NaN	-0.32	NaN	0.00	NaN	57.88	NaN	1.38	NaN	30.28
2001	1	20	NaN	-1.23	NaN	0.54	NaN	65.92	NaN	0.32	NaN	75.37
2001	1	21	NaN	-2.92	NaN	3.87	NaN	89.28	NaN	1.00	NaN	76.62
2001	1	22	NaN	1.75	NaN	0.03	NaN	62.70	NaN	2.92	NaN	76.90
2001	1	23	NaN	3.15	NaN	0.30	NaN	69.00	NaN	2.81	NaN	76.44
2001	1	24	NaN	5.46	NaN	1.77	NaN	73.91	NaN	3.33	NaN	64.63
2001	1	25	NaN	4.15	NaN	2.55	NaN	83.96	NaN	3.02	NaN	58.01
2001	1	26	NaN	0.62	NaN	0.67	NaN	72.70	NaN	2.29	NaN	55.37
2001	1	27	NaN	0.98	NaN	0.24	NaN	55.13	NaN	4.65	NaN	67.27
2001	1	28	NaN	-0.90	NaN	0.00	NaN	46.83	NaN	1.30	NaN	29.35
2001	1	29	NaN	-2.32	NaN	0.01	NaN	66.39	NaN	0.52	NaN	57.59
