Year	Month	Day	T obs	T mod	P obs	P mod	H obs	H mod	W obs	W mod	SW obs	SW mod
2001	1	1	NaN	0.06	NaN	0.00	NaN	34.23	NaN	2.14	NaN	77.78
2001	1	2	NaN	3.50	NaN	0.01	NaN	76.20	NaN	1.94	NaN	70.00
2001	1	3	NaN	0.44	NaN	3.28	NaN	86.13	NaN	2.32	NaN	56.67
2001	1	4	NaN	2.49	NaN	1.80	NaN	66.57	NaN	3.21	NaN	74.40
2001	1	5	NaN	3.88	NaN	0.45	NaN	62.41	NaN	4.48	NaN	74.63
2001	1	6	NaN	4.73	NaN	0.90	NaN	87.37	NaN	2.16	NaN	74.54
2001	1	7	NaN	-0.23	NaN	3.00	NaN	99.00	NaN	0.81	NaN	69.12
2001	1	8	NaN	-2.07	NaN	28.93	NaN	96.30	NaN	1.13	NaN	69.44
2001	1	9	NaN	-5.54	NaN	4.54	NaN	79.80	NaN	2.46	NaN	62.59
2001	1	10	NaN	1.09	NaN	0.32	NaN	63.53	NaN	3.25	NaN	72.13
2001	1	11	NaN	1.74	NaN	0.63	NaN	95.67	NaN	1.57	NaN	70.51
2001	1	12	NaN	-3.17	NaN	0.18	NaN	92.55	NaN	1.32	NaN	67.82
2001	1	13	NaN	-6.77	NaN	0.00	NaN	55.35	NaN	2.30	NaN	35.97
2001	1	14	NaN	-5.49	NaN	0.00	NaN	44.05	NaN	3.41	NaN	50.28
2001	1	15	NaN	-3.20	NaN	0.00	NaN	38.44	NaN	4.43	NaN	39.54
2001	1	16	NaN	-5.72	NaN	0.00	NaN	56.99	NaN	1.44	NaN	54.77
2001	1	17	NaN	-2.88	NaN	0.03	NaN	51.31	NaN	1.49	NaN	51.53
2001	1	18	NaN	-1.72	NaN	0.00	NaN	74.87	NaN	1.20	NaN	67.45
2001	1	19	NaN	-1.55	NaN	0.00	NaN	62.68	NaN	1.09	NaN	20.97
2001	1	20	NaN	-2.04	NaN	0.93	NaN	70.01	NaN	0.47	NaN	76.16
2001	1	21	NaN	-4.04	NaN	7.11	NaN	95.29	NaN	1.07	NaN	76.90
2001	1	22	NaN	0.20	NaN	0.62	NaN	64.36	NaN	2.25	NaN	77.18
2001	1	23	NaN	2.11	NaN	0.06	NaN	70.15	NaN	2.26	NaN	76.76
2001	1	24	NaN	4.93	NaN	0.86	NaN	77.87	NaN	3.29	NaN	69.58
2001	1	25	NaN	3.27	NaN	1.38	NaN	89.37	NaN	2.79	NaN	54.72
2001	1	26	NaN	0.18	NaN	0.55	NaN	74.33	NaN	2.06	NaN	61.99
2001	1	27	NaN	0.13	NaN	0.06	NaN	58.98	NaN	3.89	NaN	66.71
2001	1	28	NaN	-1.77	NaN	0.00	NaN	49.62	NaN	1.21	NaN	23.98
2001	1	29	NaN	-3.12	NaN	0.02	NaN	71.23	NaN	0.61	NaN	61.76
2001	1	30	NaN	-5.06	NaN	12.31	NaN	94.11	NaN	1.22	NaN	73.80
2001	1	31	NaN	-7.07	NaN	13.59	NaN	91.11	NaN	1.68	NaN	76.30
2001	2	1	NaN	-7.95	NaN	18.55	NaN	92.60	NaN	1.92	NaN	74.31
2001	2	2	NaN	-8.07	NaN	3.46	NaN	87.75	NaN	3.33	NaN	53.75
2001	2	3	NaN	-1.88	NaN	11.42	NaN	88.88	NaN	3.28	NaN	59.35
2001	2	4	NaN	1.22	NaN	6.69	NaN	91.29	NaN	4.10	NaN	67.96
2001	2	5	NaN	1.75	NaN	0.00	NaN	76.72	NaN	2.90	NaN	52.64
2001	2	6	NaN	4.04	NaN	0.00	NaN	74.29	NaN	2.73	NaN	55.09
2001	2	7	NaN	7.22	NaN	0.00	NaN	62.37	NaN	5.43	NaN	27.69
2001	2	8	NaN	5.12	NaN	0.00	NaN	68.26	NaN	5.24	NaN	21.57
2001	2	9	NaN	0.84	NaN	0.45	NaN	92.94	NaN	1.36	NaN	77.04
2001	2	10	NaN	-1.65	NaN	2.02	NaN	95.28	NaN	1.16	NaN	51.11
2001	2	11	NaN	0.82	NaN	0.00	NaN	48.25	NaN	1.67	NaN	55.32
2001	2	12	NaN	4.62	NaN	0.00	NaN	50.28	NaN	2.00	NaN	43.98
2001	2	13	NaN	2.87	NaN	1.84	NaN	85.78	NaN	1.68	NaN	90.42
2001	2	14	NaN	-0.63	NaN	0.00	NaN	68.20	NaN	1.44	NaN	90.19
2001	2	15	NaN	3.25	NaN	0.00	NaN	62.27	NaN	1.62	NaN	92.96
2001	2	16	NaN	4.01	NaN	0.00	NaN	55.67	NaN	1.47	NaN	90.79
2001	2	17	NaN	0.40	NaN	3.09	NaN	90.56	NaN	1.77	NaN	91.16
2001	2	18	NaN	-1.91	NaN	1.78	NaN	90.18	NaN	2.15	NaN	85.09
2001	2	19	NaN	-2.52	NaN	0.92	NaN	87.96	NaN	2.83	NaN	92.18
2001	2	20	NaN	-3.75	NaN	6.62	NaN	92.82	NaN	4.35	NaN	69.91
2001	2	21	NaN	-2.61	NaN	10.38	NaN	86.64	NaN	5.30	NaN	79.81
2001	2	22	NaN	-2.38	NaN	10.68	NaN	94.01	NaN	5.43	NaN	67.04
2001	2	23	NaN	-3.80	NaN	19.16	NaN	94.05	NaN	3.78	NaN	83.94
2001	2	24	NaN	-8.88	NaN	4.67	NaN	92.56	NaN	1.15	NaN	69.68
2001	2	25	NaN	-12.93	NaN	0.00	NaN	90.34	NaN	1.20	NaN	90.37
2001	2	26	NaN	-11.22	NaN	0.31	NaN	84.72	NaN	2.40	NaN	96.85
2001	2	27	NaN	-6.75	NaN	0.00	NaN	62.67	NaN	2.38	NaN	71.67
2001	2	28	NaN	-1.75	NaN	0.02	NaN	58.92	NaN	6.12	NaN	106.71
2001	3	1	NaN	-4.89	NaN	0.03	NaN	71.73	NaN	2.52	NaN	92.73
2001	3	2	NaN	-2.88	NaN	0.00	NaN	66.34	NaN	2.17	NaN	49.49
2001	3	3	NaN	3.64	NaN	0.56	NaN	89.16	NaN	2.69	NaN	86.02
2001	3	4	NaN	2.23	NaN	9.57	NaN	95.14	NaN	1.35	NaN	72.92
2001	3	5	NaN	-1.43	NaN	7.07	NaN	96.78	NaN	1.77	NaN	93.84
2001	3	6	NaN	-0.77	NaN	0.00	NaN	64.29	NaN	1.86	NaN	67.22
2001	3	7	NaN	4.62	NaN	0.00	NaN	58.75	NaN	2.51	NaN	74.95
2001	3	8	NaN	7.30	NaN	0.16	NaN	76.44	NaN	4.39	NaN	114.86
2001	3	9	NaN	2.78	NaN	12.71	NaN	92.33	NaN	2.07	NaN	116.85
2001	3	10	NaN	3.74	NaN	0.73	NaN	77.93	NaN	2.13	NaN	124.86
2001	3	11	NaN	5.40	NaN	0.68	NaN	84.73	NaN	3.91	NaN	66.30
2001	3	12	NaN	8.68	NaN	0.32	NaN	72.11	NaN	3.33	NaN	63.89
2001	3	13	NaN	1.86	NaN	14.83	NaN	80.65	NaN	3.08	NaN	74.81
2001	3	14	NaN	0.46	NaN	10.63	NaN	88.41	NaN	2.87	NaN	138.47
2001	3	15	NaN	3.48	NaN	2.18	NaN	86.69	NaN	4.12	NaN	126.16
2001	3	16	NaN	7.49	NaN	0.01	NaN	67.77	NaN	2.59	NaN	109.31
2001	3	17	NaN	7.10	NaN	3.91	NaN	68.82	NaN	3.01	NaN	141.16
2001	3	18	NaN	4.45	NaN	0.36	NaN	81.79	NaN	2.96	NaN	139.44
2001	3	19	NaN	1.79	NaN	0.68	NaN	76.57	NaN	3.87	NaN	143.01
2001	3	20	NaN	0.29	NaN	5.25	NaN	70.31	NaN	1.96	NaN	101.25
2001	3	21	NaN	6.60	NaN	10.29	NaN	89.47	NaN	3.81	NaN	147.69
2001	3	22	NaN	5.48	NaN	18.27	NaN	90.60	NaN	3.95	NaN	144.91
2001	3	23	NaN	7.53	NaN	7.46	NaN	80.22	NaN	3.23	NaN	75.23
2001	3	24	NaN	11.18	NaN	0.64	NaN	62.80	NaN	3.65	NaN	121.06
2001	3	25	NaN	6.23	NaN	8.62	NaN	81.21	NaN	2.83	NaN	105.69
2001	3	26	NaN	1.23	NaN	0.19	NaN	90.43	NaN	2.41	NaN	116.99
2001	3	27	NaN	0.88	NaN	0.00	NaN	83.47	NaN	1.42	NaN	153.94
2001	3	28	NaN	4.92	NaN	0.00	NaN	58.57	NaN	2.29	NaN	174.72
2001	3	29	NaN	7.20	NaN	4.05	NaN	58.25	NaN	2.92	NaN	168.94
2001	3	30	NaN	1.70	NaN	19.87	NaN	97.12	NaN	1.51	NaN	178.94
2001	3	31	NaN	1.91	NaN	1.50	NaN	91.72	NaN	1.38	NaN	129.77
2001	4	1	NaN	4.32	NaN	0.00	NaN	77.16	NaN	1.34	NaN	163.43
