Year	Month	Day	T obs	T mod	P obs	P mod	H obs	H mod	W obs	W mod	SW obs	SW mod
2001	1	1	2.88	-1.02	0.00	0.00	23.75	38.74	4.08	3.26	NaN	78.89
2001	1	2	2.82	0.80	0.00	0.47	54.17	85.34	2.37	2.30	NaN	73.43
2001	1	3	-1.15	-0.93	3.00	6.19	87.13	90.86	2.19	2.40	NaN	56.16
2001	1	4	-0.01	0.54	1.10	11.10	61.75	77.55	4.17	3.32	NaN	75.65
2001	1	5	2.90	1.14	0.00	0.10	43.29	71.20	4.43	3.79	NaN	75.93
2001	1	6	2.11	2.58	0.00	1.50	74.29	95.45	2.87	2.07	NaN	75.83
2001	1	7	-2.66	-0.69	1.80	4.13	95.17	98.70	1.79	1.25	NaN	71.99
2001	1	8	-4.36	-2.59	14.40	22.32	94.63	96.08	1.91	1.50	NaN	68.52
2001	1	9	-6.01	-5.81	2.30	2.73	83.50	80.15	3.01	3.22	NaN	64.72
2001	1	10	-0.41	-0.79	0.00	1.13	51.21	68.82	5.90	2.85	NaN	72.78
2001	1	11	-0.11	0.67	0.90	7.40	84.29	98.41	4.25	1.88	NaN	71.81
2001	1	12	-2.98	-4.29	0.00	0.11	94.33	98.16	2.75	1.24	NaN	67.87
2001	1	13	-7.90	-11.40	0.00	0.00	83.50	76.19	2.70	1.91	NaN	37.27
2001	1	14	-5.95	-11.30	0.00	0.00	28.21	64.31	5.56	2.56	NaN	39.26
2001	1	15	-4.82	-6.97	0.00	0.00	22.13	45.94	5.13	2.89	NaN	53.43
2001	1	16	-6.28	-8.84	0.00	0.00	66.83	60.23	2.34	1.64	NaN	48.10
2001	1	17	-3.74	-4.13	0.00	0.00	44.92	53.74	1.08	2.58	NaN	49.49
2001	1	18	-2.40	-4.16	0.00	0.00	67.29	86.37	2.55	2.07	NaN	68.29
2001	1	19	-1.60	-4.35	0.00	0.00	50.71	75.10	1.18	1.63	NaN	40.74
2001	1	20	-3.39	-3.87	0.00	0.64	69.96	79.58	1.76	1.16	NaN	77.59
2001	1	21	-4.72	-5.25	0.00	4.89	80.13	94.08	2.53	1.67	NaN	78.84
2001	1	22	1.32	-0.48	0.00	0.33	51.25	63.51	3.28	2.91	NaN	79.12
2001	1	23	1.33	1.11	0.00	2.09	67.54	75.60	4.06	2.86	NaN	78.24
2001	1	24	4.15	3.10	2.00	0.89	64.33	86.49	2.45	2.76	NaN	71.06
2001	1	25	2.20	1.46	1.10	6.65	72.33	92.77	3.49	3.02	NaN	44.91
2001	1	26	-3.06	-2.11	1.00	3.70	89.04	82.25	2.57	2.46	NaN	66.76
2001	1	27	-2.93	-2.52	2.20	0.10	67.54	62.18	3.63	3.53	NaN	70.74
2001	1	28	-2.51	-5.47	0.00	0.00	45.79	51.35	2.12	2.05	NaN	37.31
2001	1	29	-4.99	-5.55	0.00	0.20	78.83	77.85	2.12	1.13	NaN	63.56
2001	1	30	-7.96	-7.35	0.70	1.42	92.92	96.28	3.19	1.63	NaN	70.46
2001	1	31	-9.18	-9.61	1.10	5.80	92.00	95.63	2.93	1.71	NaN	70.19
2001	2	1	-10.73	-9.73	2.20	6.38	90.71	93.63	3.00	2.21	NaN	74.31
2001	2	2	-11.18	-8.53	4.50	15.10	90.00	88.90	3.85	3.84	NaN	64.03
2001	2	3	-5.26	-2.55	14.50	41.90	94.08	93.37	6.74	4.42	NaN	68.61
2001	2	4	0.02	0.11	11.80	27.69	86.58	94.77	5.70	4.75	NaN	66.57
2001	2	5	1.34	0.28	0.00	0.00	72.17	77.01	2.90	3.42	NaN	63.94
2001	2	6	5.82	2.88	0.00	0.00	44.63	78.54	3.03	2.95	NaN	58.24
2001	2	7	7.75	4.59	0.00	0.00	39.42	72.14	6.05	3.87	NaN	40.32
2001	2	8	5.45	3.74	0.00	0.00	42.63	70.51	3.81	5.41	NaN	30.56
2001	2	9	-0.78	-1.74	7.10	1.70	88.29	97.00	2.24	1.16	NaN	82.08
2001	2	10	-3.20	-4.02	0.80	0.85	92.83	97.19	2.00	1.57	NaN	56.34
2001	2	11	1.22	-2.42	0.00	0.00	45.42	53.84	4.66	2.61	NaN	56.90
2001	2	12	6.70	2.29	0.00	0.00	27.17	56.65	3.58	2.73	NaN	56.76
2001	2	13	1.33	1.53	6.80	0.31	80.25	87.30	2.76	1.58	NaN	91.11
2001	2	14	-1.92	-4.18	0.00	0.00	70.83	79.45	2.04	1.91	NaN	91.20
2001	2	15	4.48	0.00	0.00	0.00	46.42	76.36	2.54	2.27	NaN	94.31
2001	2	16	4.88	0.01	0.00	0.00	48.42	74.28	2.00	2.09	NaN	92.82
2001	2	17	-2.81	-1.46	1.10	4.60	94.71	97.16	2.54	1.48	NaN	92.73
2001	2	18	-4.29	-4.07	0.00	0.98	93.46	97.10	3.88	2.12	NaN	91.99
2001	2	19	-5.93	-3.65	0.00	1.53	87.83	93.11	3.26	3.36	NaN	93.56
2001	2	20	-6.36	-4.40	12.80	20.59	93.13	93.39	5.34	4.60	NaN	73.24
2001	2	21	-6.19	-3.54	3.30	23.79	93.50	90.42	7.16	5.27	NaN	89.03
2001	2	22	-5.02	-2.63	0.00	23.29	93.71	94.54	6.29	6.41	NaN	76.16
2001	2	23	-6.45	-4.09	0.00	22.94	92.83	93.98	5.76	4.37	NaN	87.22
2001	2	24	-10.24	-10.80	0.00	3.80	90.21	93.89	1.64	1.60	NaN	70.37
2001	2	25	-10.74	-15.41	0.00	0.01	89.50	91.69	2.47	1.45	NaN	90.32
2001	2	26	-11.75	-14.32	0.00	0.31	88.71	93.01	2.73	2.66	NaN	101.71
2001	2	27	-8.62	-8.15	0.00	0.00	86.38	64.31	2.72	3.43	NaN	88.84
2001	2	28	-4.25	-3.87	0.00	0.00	56.75	66.35	4.78	5.24	NaN	109.68
2001	3	1	-5.50	-7.72	0.00	1.19	74.33	85.90	2.54	2.66	NaN	100.93
2001	3	2	-4.92	-4.41	0.60	0.00	72.79	69.29	3.30	2.42	NaN	88.10
2001	3	3	1.78	2.51	0.40	0.05	75.79	90.64	2.82	2.66	NaN	105.65
2001	3	4	-0.03	1.29	2.80	11.86	85.08	98.45	3.81	1.54	NaN	104.17
2001	3	5	-3.40	-3.08	3.60	6.55	93.63	97.09	2.44	1.92	NaN	100.88
2001	3	6	-0.68	-3.38	0.00	0.00	69.75	75.80	1.80	2.37	NaN	64.40
2001	3	7	6.62	2.16	0.10	0.00	37.96	71.27	3.30	3.00	NaN	81.44
2001	3	8	8.45	4.61	0.00	0.39	50.00	91.39	3.30	3.85	NaN	118.75
2001	3	9	0.55	0.90	5.60	12.27	93.63	98.72	2.77	2.35	NaN	117.27
2001	3	10	1.82	0.78	0.60	10.26	73.92	97.31	3.56	2.45	NaN	114.54
2001	3	11	3.16	2.63	2.00	9.82	77.33	99.36	4.66	3.13	NaN	62.04
2001	3	12	6.57	3.54	0.90	2.75	61.88	98.40	3.51	2.71	NaN	68.52
2001	3	13	-1.38	0.11	10.70	23.81	84.46	87.29	4.02	3.20	NaN	121.20
2001	3	14	-2.78	-0.45	11.80	21.04	92.17	91.12	4.38	3.66	NaN	140.56
2001	3	15	0.20	1.77	9.00	10.02	93.46	96.51	6.61	4.12	NaN	130.65
2001	3	16	5.87	3.11	0.10	0.41	61.46	92.23	4.23	2.97	NaN	110.83
2001	3	17	4.43	2.92	4.10	9.90	69.13	92.22	2.74	2.98	NaN	143.94
2001	3	18	1.06	2.02	4.10	4.63	89.38	96.91	3.02	2.37	NaN	142.59
2001	3	19	-1.72	0.13	3.70	2.14	90.75	86.84	4.24	4.62	NaN	146.11
2001	3	20	-2.18	-1.05	0.90	9.09	92.25	87.05	2.74	1.91	NaN	102.13
2001	3	21	2.60	5.00	7.20	18.26	83.21	99.49	5.94	3.50	NaN	152.45
2001	3	22	1.68	4.06	21.40	43.83	88.83	97.23	5.20	4.05	NaN	151.20
2001	3	23	3.79	6.20	21.10	9.17	77.83	86.30	5.01	3.39	NaN	118.06
2001	3	24	6.87	9.14	2.30	1.82	75.00	71.37	2.94	3.03	NaN	129.77
2001	3	25	2.42	4.90	11.00	13.44	85.21	89.14	3.67	2.81	NaN	120.93
2001	3	26	-1.37	0.45	1.50	5.25	94.88	93.91	2.81	3.19	NaN	127.18
2001	3	27	-2.28	-0.09	0.70	0.05	90.21	90.55	2.47	1.28	NaN	160.74
2001	3	28	2.07	3.35	0.00	1.15	60.04	64.89	3.51	2.29	NaN	176.02
2001	3	29	3.73	5.59	0.00	6.75	62.67	64.55	3.26	2.81	NaN	173.98
2001	3	30	-1.65	0.97	7.20	19.04	95.00	96.94	2.65	1.90	NaN	179.68
2001	3	31	-0.70	0.33	2.10	0.54	92.75	92.73	2.04	1.67	NaN	122.82
