Year,Month,Day,T obs,T mod,P obs,P mod,H obs,H mod,W obs,W mod,SW obs,SW mod
2001,1,1,NaN,-5.77,NaN,0.00,NaN,38.75,NaN,3.24,NaN,81.62
2001,1,2,NaN,-1.51,NaN,0.14,NaN,86.40,NaN,3.06,NaN,73.70
2001,1,3,NaN,-4.70,NaN,7.90,NaN,96.59,NaN,3.68,NaN,68.89
2001,1,4,NaN,-2.60,NaN,12.38,NaN,76.61,NaN,5.02,NaN,78.66
2001,1,5,NaN,-2.30,NaN,0.09,NaN,77.60,NaN,6.08,NaN,75.56
2001,1,6,NaN,0.42,NaN,1.43,NaN,99.05,NaN,3.20,NaN,78.70
2001,1,7,NaN,0.10,NaN,1.60,NaN,99.74,NaN,2.22,NaN,73.75
2001,1,8,NaN,-5.32,NaN,24.20,NaN,97.57,NaN,2.64,NaN,73.19
2001,1,9,NaN,-10.52,NaN,4.73,NaN,89.54,NaN,4.11,NaN,73.38
2001,1,10,NaN,-3.89,NaN,2.69,NaN,66.15,NaN,4.88,NaN,75.51
2001,1,11,NaN,-1.58,NaN,6.02,NaN,97.78,NaN,3.36,NaN,75.09
2001,1,12,NaN,-7.89,NaN,0.05,NaN,97.88,NaN,1.67,NaN,71.11
2001,1,13,NaN,-12.37,NaN,0.00,NaN,56.86,NaN,4.54,NaN,53.84
2001,1,14,NaN,-11.78,NaN,0.00,NaN,45.53,NaN,4.94,NaN,59.77
2001,1,15,NaN,-8.87,NaN,0.00,NaN,36.42,NaN,5.77,NaN,45.56
2001,1,16,NaN,-12.78,NaN,0.00,NaN,77.93,NaN,2.10,NaN,57.59
2001,1,17,NaN,-8.28,NaN,0.09,NaN,63.27,NaN,2.99,NaN,57.96
2001,1,18,NaN,-7.64,NaN,0.01,NaN,92.20,NaN,3.31,NaN,68.52
2001,1,19,NaN,-8.43,NaN,0.00,NaN,84.43,NaN,2.04,NaN,45.88
2001,1,20,NaN,-6.62,NaN,1.40,NaN,81.74,NaN,1.09,NaN,79.49
2001,1,21,NaN,-9.18,NaN,6.61,NaN,97.42,NaN,1.69,NaN,80.56
2001,1,22,NaN,-5.92,NaN,0.36,NaN,81.47,NaN,3.64,NaN,80.23
2001,1,23,NaN,-3.38,NaN,1.45,NaN,82.59,NaN,3.43,NaN,79.35
2001,1,24,NaN,1.56,NaN,3.89,NaN,81.58,NaN,4.63,NaN,71.76
2001,1,25,NaN,-0.53,NaN,4.52,NaN,89.82,NaN,5.24,NaN,47.92
2001,1,26,NaN,-6.21,NaN,4.55,NaN,90.44,NaN,3.00,NaN,66.06
2001,1,27,NaN,-7.36,NaN,0.52,NaN,73.68,NaN,5.46,NaN,70.46
