Year,Month,Day,T obs,T mod,P obs,P mod,H obs,H mod,W obs,W mod,SW obs,SW mod
2001,1,1,-5.98,1.84,NaN,0.00,90.92,27.82,0.74,2.08,31.94,76.81
2001,1,2,-0.82,4.84,NaN,0.08,95.18,71.78,0.96,2.07,55.78,69.12
2001,1,3,1.17,1.38,NaN,2.59,98.82,83.29,0.92,1.79,28.33,59.58
2001,1,4,-0.07,3.45,NaN,2.07,99.06,62.67,0.74,2.70,38.94,73.56
2001,1,5,0.69,5.18,NaN,0.67,97.69,55.84,0.92,4.05,45.85,73.29
2001,1,6,3.60,6.95,NaN,0.70,88.72,78.54,1.67,2.07,53.21,73.80
2001,1,7,2.34,1.14,NaN,2.83,99.03,96.65,1.07,0.81,16.71,69.68
2001,1,8,0.36,-0.87,NaN,22.85,99.00,94.37,0.32,0.47,7.52,68.47
2001,1,9,-0.76,-3.93,NaN,2.74,98.26,74.35,0.41,2.17,19.23,66.71
2001,1,10,-2.88,2.07,NaN,0.60,97.93,60.61,0.74,2.89,26.49,71.48
2001,1,11,0.43,2.62,NaN,0.65,99.01,94.52,0.79,1.16,29.74,70.37
2001,1,12,0.71,-1.58,NaN,0.11,98.73,89.47,1.19,1.10,19.65,65.46
2001,1,13,-2.83,-5.69,NaN,0.00,85.69,54.63,1.53,1.69,35.99,34.81
2001,1,14,-6.85,-6.56,NaN,0.00,87.95,48.06,0.84,1.86,68.11,53.89
2001,1,15,-8.18,-4.74,NaN,0.00,83.61,39.54,0.87,1.42,75.33,41.11
2001,1,16,-7.57,-4.06,NaN,0.00,81.30,48.73,0.62,0.80,60.41,66.20
2001,1,17,-5.71,-1.33,NaN,0.03,82.09,45.51,0.62,1.20,87.49,57.92
2001,1,18,-4.36,-0.15,NaN,0.00,79.80,68.09,0.72,0.98,67.82,66.99
2001,1,19,-4.27,0.31,NaN,0.00,85.71,56.49,0.66,1.12,75.35,26.76
2001,1,20,-3.33,-0.98,NaN,0.52,80.93,68.14,0.65,0.55,43.43,74.72
2001,1,21,-3.25,-2.21,NaN,4.40,91.24,88.62,0.85,0.52,33.19,75.74
2001,1,22,-2.26,1.88,NaN,0.19,86.62,60.92,0.83,2.20,38.40,76.16
2001,1,23,0.44,3.48,NaN,0.06,82.18,67.78,0.96,2.30,42.56,75.93
2001,1,24,2.27,5.77,NaN,1.02,85.30,74.25,0.97,2.72,40.37,67.92
2001,1,25,2.78,4.08,NaN,1.38,96.65,85.05,1.01,1.97,61.75,50.93
2001,1,26,1.86,1.18,NaN,0.16,98.12,70.06,0.95,1.73,22.46,57.55
2001,1,27,-0.11,1.30,NaN,0.15,95.18,54.21,1.23,3.35,37.75,67.59
2001,1,28,-1.42,-0.29,NaN,0.00,89.87,47.03,0.77,1.21,93.88,27.78
2001,1,29,-2.26,-1.67,NaN,0.00,83.75,67.12,0.84,0.69,63.35,60.42
2001,1,30,-1.91,-3.74,NaN,4.57,91.84,90.34,0.84,0.89,28.04,72.13
2001,1,31,-1.91,-5.54,NaN,6.30,92.65,85.92,0.90,1.16,40.52,75.51
2001,2,1,-3.16,-6.47,NaN,6.42,93.16,88.14,1.11,1.50,12.10,74.21
2001,2,2,-4.24,-7.28,NaN,1.88,90.72,85.23,1.01,2.38,10.27,56.30
2001,2,3,-2.28,-0.68,NaN,12.97,95.98,86.74,0.89,2.01,12.09,56.62
2001,2,4,1.25,2.68,NaN,13.98,97.94,86.73,0.85,3.41,58.26,64.49
2001,2,5,1.45,2.92,NaN,0.00,94.43,72.72,1.00,2.51,75.71,53.47
2001,2,6,3.32,5.82,NaN,0.00,83.95,73.91,0.90,2.78,74.92,54.81
2001,2,7,2.79,9.25,NaN,0.00,83.75,55.42,0.94,5.90,70.11,26.67
2001,2,8,7.24,6.97,NaN,0.00,55.88,56.65,2.42,3.89,100.50,21.34
2001,2,9,2.62,2.37,NaN,0.12,86.37,85.41,0.95,1.28,30.63,78.15
2001,2,10,2.71,0.07,NaN,0.29,95.01,89.05,0.79,0.77,50.64,50.93
2001,2,11,1.71,3.30,NaN,0.00,88.98,34.71,0.86,1.60,116.54,51.67
2001,2,12,2.78,7.37,NaN,0.00,75.41,32.77,0.84,1.67,111.37,51.67
2001,2,13,3.70,4.61,NaN,0.94,83.99,75.50,1.15,1.51,39.57,88.66
2001,2,14,2.58,1.36,NaN,0.00,88.78,59.67,1.04,0.99,123.17,88.84
2001,2,15,1.26,5.03,NaN,0.00,85.91,52.83,0.84,1.11,129.46,91.48
2001,2,16,3.14,6.12,NaN,0.00,79.75,43.78,0.90,1.18,132.69,90.14
2001,2,17,1.87,1.67,NaN,1.38,93.37,84.91,1.13,1.36,24.15,88.84
2001,2,18,2.83,-0.30,NaN,0.25,85.75,82.30,1.64,1.54,99.87,87.31
2001,2,19,1.73,-1.09,NaN,0.06,71.80,80.82,1.58,1.89,86.88,91.11
2001,2,20,0.56,-2.01,NaN,3.98,85.42,83.98,1.61,3.45,16.98,74.31
2001,2,21,1.77,-0.79,NaN,11.32,78.59,77.79,2.20,4.40,65.62,79.35
2001,2,22,0.91,-0.66,NaN,9.65,92.57,86.61,1.57,4.19,17.97,65.46
2001,2,23,0.22,-2.22,NaN,18.17,94.96,88.85,1.57,2.86,17.74,81.85
2001,2,24,-2.72,-7.22,NaN,2.41,89.77,89.07,1.18,0.91,75.06,68.70
2001,2,25,-4.20,-10.24,NaN,0.00,81.39,85.55,1.07,1.07,141.71,90.69
2001,2,26,-3.15,-9.32,NaN,0.02,76.02,79.49,0.97,2.13,105.03,93.43
2001,2,27,-4.20,-5.31,NaN,0.00,75.89,54.53,0.97,2.20,168.72,74.12
2001,2,28,-2.56,-1.13,NaN,0.01,79.76,59.13,1.21,4.04,121.45,106.11
